 |name|stars|hp|effective_hp|movement_speed|attack_speed|damage|magic_dust
|Greydwarf|0|40|55|1|1|14|0.129
|Greydwarf|1|80|80|1.041|1.051|21|0.15
|Greydwarf|2|120|120|1.062|1.051|28|0.183
|Greydwarf|3|140|140|1.083|1.105|35|0.214
|Greydwarf|4|160|160|1.162|1.105|42|0.254
|Greydwarf|5|172|172|1.284|1.221|49|0.324
|Greydwarf|6|184|184|1.35|1.35|56|0.407
|Greydwarf|7|196|196|1.419|1.419|63|0.5
|Greydwarf|8|208|208|1.462|1.462|70|0.597
|Greydwarf|9|220|220|1.462|1.462|77|0.678
|Greydwarf|10|240|240|1.462|1.462|84|0.792
