name|stars|hp|effective_hp|movement_speed|attack_speed|damage|magic_dust
Wolf|0|80|115|1.5|1.6|70|0.38
Wolf|1|160|228.571|1.561|1.682|105|1.055
Wolf|2|240|342.857|1.593|1.682|140|2.2
Wolf|3|280|400|1.625|1.768|175|3.629
Wolf|4|320|457.143|1.743|1.768|210|5.619
Wolf|5|344|491.429|1.926|1.954|245|8.897
Wolf|6|368|525.714|2.025|2.16|280|12.887
Wolf|7|392|560|2.129|2.271|315|17.285
Wolf|8|416|594.286|2.193|2.34|350|21.786
Wolf|9|440|628.571|2.193|2.34|385|25.392
Wolf|10|480|685.714|2.193|2.34|420|30.142
