name,type_behavior,dmg1,aoe,heal,dot,usual_biome,multiattack,speed,dmg_edit,health,damage,movement_speed,attack_speed,accuracy,progression,hero_min_damage
Blob,Aggressive,70,TRUE,FALSE,TRUE,Swamp,FALSE,1,70,50,70,1,1,1.4,3,85
Boar,Aggressive,10,FALSE,FALSE,FALSE,Meadows,FALSE,1,10,10,10,1,1,1,1,25
Bonemass,Boss,80,TRUE,FALSE,FALSE,Swamp,FALSE,1,80,5000,150,1,1,1.8,3,85
Crow,Passive,-,FALSE,FALSE,FALSE,Meadows,FALSE,1,-,1,0,1,1,1,1,25
Deathsquito,Aggressive,90,FALSE,FALSE,FALSE,Plains,FALSE,3,90,10,90,2.5,1,0.1,5,145
Deer,Passive,-,FALSE,FALSE,FALSE,Meadows,FALSE,1,-,10,0,1,1,1,1,25
Drake,Aggressive,90,FALSE,FALSE,FALSE,Mountain,FALSE,1,90,100,90,1,1,1,4,115
Draugr,Aggressive,48/48,FALSE,FALSE,FALSE,Swamp,TRUE,1,48/48,100,48,1,1,1,3,85
Draugr_Elite,Aggressive,58,FALSE,FALSE,FALSE,Swamp,FALSE,1,58,200,58,1,1,1,3,85
Eikthyr,Boss,20,FALSE,FALSE,FALSE,Meadows,FALSE,1,20,500,30,1,1,1.8,1,25
Fenring,Aggressive,85/95,FALSE,FALSE,FALSE,Mountain,TRUE,1,85/95,300,95,1,1,1,4,115
Fish,Passive,-,FALSE,FALSE,FALSE,Ocean,FALSE,1,-,1,0,1,1,1,3,85
Goblin,Aggressive,"110*, 55*",FALSE,FALSE,FALSE,Plains,TRUE,1,110/55,200,110,1,1,1,5,145
GoblinBrute,Aggressive,130/80,TRUE,FALSE,FALSE,Plains,TRUE,1,130/80,800,130,0.8,1,1.5,5,145
GoblinShaman,Aggressive,"100, 20/100",FALSE,TRUE,TRUE,Plains,TRUE,1,100/20/100,150,100,1,1,1,5,145
Ghost,Aggressive,25,FALSE,FALSE,FALSE,Black Forest,FALSE,1,25,60,25,1,1,1,2,55
Greydwarf,Aggressive,14/10,FALSE,FALSE,FALSE,Black Forest,TRUE,1,14/10,40,14,1,1,1,2,55
Greydwarf_Elite,Aggressive,30,FALSE,FALSE,FALSE,Black Forest,FALSE,1,30,150,30,1,1,1,2,55
Greydwarf_Shaman,Aggressive,14/25,FALSE,TRUE,TRUE,Black Forest,TRUE,1,14/25,60,25,1,1,1,2,55
Greyling,Aggressive,5,FALSE,FALSE,FALSE,Meadows,FALSE,1,5,20,5,1,1,1,1,25
Gull,Passive,-,FALSE,FALSE,FALSE,Meadows,FALSE,1,-,1,0,1,1,1,1,25
Leech,Aggressive,20/60,FALSE,FALSE,TRUE,Swamp,TRUE,1,20/60,60,60,1,1,1,3,85
Leviathan,Passive,-,FALSE,FALSE,FALSE,Ocean,FALSE,1,-,,0,1,1,1,3,85
Lox,Aggressive,130/120,FALSE,FALSE,FALSE,Plains,TRUE,1,130/120,1000,130,0.8,1,1.5,5,145
Moder,Boss,30/200/400,FALSE,FALSE,FALSE,Mountain,TRUE,1,30/200/400,7500,180,1,1,2.5,4,115
Neck,Aggressive,6,FALSE,FALSE,FALSE,Meadows,FALSE,1,6,5,6,1,1,1,1,25
Oozer,Aggressive,90,TRUE,FALSE,FALSE,Swamp,FALSE,1,90,150,90,1,1,1,3,85
Skeleton_Poison,Aggressive,20/20,FALSE,FALSE,TRUE,Black Forest,TRUE,1,20/20,100,20,1,1,1,2,55
Serpent,Aggressive,70/40,FALSE,FALSE,FALSE,Ocean,TRUE,1,70/40,400,70,1,1,1,3,85
Skeleton,Aggressive,25/20,FALSE,FALSE,FALSE,Black Forest,TRUE,1,25/20,40,25,1,1,1,2,55
Stone Golem,Aggressive,110/110,FALSE,FALSE,FALSE,Mountain,TRUE,1,110/110,800,110,1,1,1.5,4,115
Surtling,Aggressive,10/40,FALSE,FALSE,TRUE,Swamp,TRUE,1,10/40,20,40,1,1,1,3,85
gd_king,Boss,35,FALSE,FALSE,FALSE,Black Forest,FALSE,1,35,2500,70,1,1,1.8,2,55
Troll,Aggressive,60/70/50,FALSE,FALSE,FALSE,Black Forest,TRUE,1,60/70/50,600,70,0.8,1,1.5,2,55
Wolf,Aggressive,70,FALSE,FALSE,FALSE,Mountain,FALSE,2,70,80,70,1.5,1.5,0.5,4,115
Wraith,Aggressive,60,FALSE,FALSE,FALSE,Swamp,FALSE,1,60,100,60,1,1,1,3,85
GoblinKing,Boss,130,FALSE,FALSE,FALSE,Plains,FALSE,1,130,10000,200,1,1,2.5,5,145
